neighborhood,room_arrangement,house_type,square_meters,price_including_loans,price_per_square_meters,built_in,floor,has_elevator,shape,lot,energy_classification
Meilahti,1h+kk,apartment,20.0,180000,9000,1938,4/4,True,,owned,D-2018
Etu-töölö,1h+kk,apartment,26.5,289000,10906,1912,2/5,True,good,owned,F-2013
Alppiharju,"1h, kk, lasitet...",apartment,25.5,207000,8118,1961,6/10,True,satisfactory,owned,G-2013
Pikku-huopalahti,"1h, avok, kph, ...",apartment,33.5,227000,6776,1995,2/3,True,good,rented,E-2013
Punavuori,"1h, kk, kph",apartment,20.0,200000,10000,1957,3/6,True,satisfactory,owned,C-2007
Oulunkylä,"1h, kk",apartment,29.0,168000,5793,1963,3/3,False,good,owned,E-2018
Oulunkylä,1h+kt,apartment,34.0,225000,6618,2017,3/4,True,good,owned,C-2013
Etelä-haaga,"1h, avok, kph, ...",apartment,21.0,191000,9095,1960,3/4,False,satisfactory,owned,F-2013
Munkkivuori,"1 h, kk, kph, r...",apartment,31.0,187500,6048,1957,10/10,True,satisfactory,rented,E-2013
Pihlajisto,1H + PK,apartment,35.0,126000,3600,1974,5/9,True,satisfactory,owned,F-2007
Herttoniemi,1h+kk+kh1H+KK,apartment,23.0,163000,7087,1954,4/4,False,satisfactory,rented,
Alppila,"1h, avok, kph, vh",apartment,24.0,198000,8250,1936,1/4,True,good,owned,F-2013
Lauttasaari,"1h, kk, kph",apartment,26.0,198000,7615,1951,4/4,True,satisfactory,owned,D-2007
Vallila,"1h, k, kph, wc",apartment,34.0,231500,6809,1929,3/4,False,satisfactory,owned,G-2013
Vallila,"1h, k, alk, kph",apartment,55.0,335000,6091,1929,4/4,True,good,owned,E-2018
Taka-töölö,"1h, avok., kph",apartment,17.5,185000,10571,1937,6/7,True,satisfactory,owned,G-2007
Harju,"1h, avok, kph, ...",apartment,22.0,190000,8636,1936,3/6,True,good,owned,F-2013
Meilahti,1h+avok+kph+p,apartment,23.5,215000,9149,1950,6/8,True,satisfactory,owned,F-2013
Alppila,"1h, k",apartment,29.0,219000,7552,1960,2/8,True,good,owned,
Hermanni,"1h, avok, kph, vh",apartment,30.0,210000,7000,1957,2/6,True,good,rented,E-2007
Kallio,1h+kk,apartment,31.0,232000,7484,1938,3/7,True,good,owned,F-2013
Lassila,1h + kk ,apartment,39.0,170000,4359,1977,2/5,False,good,rented,F-2013
Kallio,"1h, alkovi, k, ...",apartment,40.0,296000,7400,1928,2/7,True,satisfactory,owned,F-2013
Harju,"1h, kk, kph",apartment,18.0,175099,9728,1940,2/6,True,satisfactory,owned,E-2007
Kamppi,"1h, kk, kph",apartment,20.0,205000,10250,1906,3/6,True,,owned,
Keskusta,"1h,avok,kph.",apartment,26.0,290000,11154,1937,5/5,True,good,owned,G-2013
Taka-töölö,"1h, k, kph, p",apartment,29.5,278000,9424,1989,4/6,True,good,owned,E-2013
Pukinmäki,"1h, kk, kph/wc,...",apartment,30.0,145000,4833,1980,2/5,True,good,owned,F
Pakila,1h+kk,apartment,32.0,159000,4969,1969,3/3,False,good,owned,E-2018
Punavuori,"1h, k, alkovi, ...",apartment,33.0,294000,8909,1938,5/5,True,satisfactory,owned,F-2018
Sörnäinen,1h+alkovi+kk+kph,apartment,34.5,210200,6093,1927,1/7,True,,owned,D-2013
Mellunmäki,1 h + keitti...,apartment,31.0,135000,4355,1978,1/5,True,good,owned,E-2007
Merihaka,"1h, kk, alkovi,...",apartment,32.0,220000,6875,1980,7/8,True,satisfactory,owned,D-2018
Vallila,"1h, k",apartment,51.0,308000,6039,1926,3/4,False,good,rented,E-2007
