neighborhood,room_arrangement,house_type,square_meters,price_including_loans,price_per_square_meters,built_in,floor,has_elevator,shape,lot,energy_classification
Munkkiniemi,"2 h, kk, kph, h...",apartment,49.0,293000,5980,1940,4/4,True,good,owned,D-2013
Töölö,"2h, kk",apartment,50.0,335000,6700,1930,6/8,True,,owned,F-2013
Meri-rastila/ vuosaari,"2 h, k, kph, p",apartment,58.5,140000,2393,1991,2/3,False,satisfactory,rented,F-2013
Siltamäki,"2h, k, ph/s, wc...",apartment,63.5,116000,1827,1972,3/3,False,good,owned,G-2013
Munkkiniemi,"2h, k, kph, par...",apartment,48.0,345000,7188,1959,3/4,True,good,owned,E-2007
Roihuvuori,2h+k,apartment,51.1,195000,3816,1960,4/4,False,,rented,
Ylä-malmi,"2h, k, kph, las...",apartment,55.5,156500,2820,1967,1/3,True,satisfactory,owned,E
Oulunkylä,2h+k+kph+et+par...,apartment,60.0,275000,4583,1965,2/3,False,good,rented,E-2007
Paloheinä,"2h, k, s, p",apartment,61.0,227000,3721,1986,2/2,False,satisfactory,rented,G-2013
Kamppi,"2h, avok, kph",apartment,62.0,410000,6613,1939,3/5,True,satisfactory,owned,F-2013
Kurkimäki,2h+kk+kph,apartment,46.0,119100,2589,1986,2/3,False,satisfactory,rented,E-2007
Oulunkylä,"2h, kk, kph, va...",apartment,50.0,195000,3900,1955,4/4,True,,rented,F-2018
Vuosaari,2h+kk+s,apartment,52.0,196000,3769,1999,2/7,True,satisfactory,rented,C-2018
Roihuvuori,"2h, k, kph, las...",apartment,53.0,261000,4925,1966,1/3,False,good,owned,F
Etelä-haaga,"2h, k, rt, kph,...",apartment,53.5,235000,4393,1957,1/3,False,satisfactory,owned,E-2018
Mellunmäki,2 h+k,apartment,55.0,135000,2455,1972,1/3,False,good,owned,D-2007
Yliskylä,"2h,k, kph, vh, ...",apartment,44.0,168000,3818,1971,2/4,True,good,owned,E-2018
Itäkeskus,"2h, kk, kph, s,...",apartment,45.0,182385,4053,2001,2/6,True,satisfactory,rented,C
Puotila,2 h+k,apartment,47.5,174000,3663,1961,2/3,False,good,rented,E-2007
Kaartinkaupunki,"2h, avokeitti..",apartment,51.0,570000,11176,1962,3/7,True,good,owned,D-2013
Alppila,"2h, k ja parveke",apartment,53.5,320000,5981,1959, ,True,satisfactory,owned,G-2013
Itäkeskus,"2h, k, kph, vh,...",apartment,58.5,153000,2615,1977,1/3,True,satisfactory,rented,D-2007
Punavuori,"2h, k",apartment,61.0,350448,5745,1927,1/5,True,good,owned,F-2013
Katajanokka,"2h, k, kph",apartment,90.0,680000,7556,1906,2/4,False,good,owned,D-2018
Kallio,2h+kk,apartment,41.0,282000,6878,1940,6/6,True,satisfactory,owned,F-2013
Kamppi,"1h, lasisein...",apartment,42.0,355000,8452,1929,1/4,False,good,owned,
Vallila,"2h, k, kph",apartment,44.0,242000,5500,1928,3/6,True,satisfactory,owned,
Oulunkylä,2h+kk+kph+ lasi...,apartment,47.5,174000,3663,1990,1/3,True,satisfactory,rented,E-2013
Kannelmäki,"2h,k,kph,las.p",apartment,48.0,190000,3958,1958,2/4,False,good,rented,G-2013
Länsi-pasila,2h+k+kph+s+piha,apartment,51.5,279000,5417,1983,1/4,True,good,rented,D-2018
Etelä-haaga,2h+avok+kph+vh+...,apartment,52.0,267000,5135,1964,2/3,False,good,owned,E-2007
Munkkivuori,"2 h+k+vh, kph, ...",apartment,52.1,248000,4760,1957,2/4,False,good,rented,G-2013
Mellunmäki,"2h, k, kph, vh, p",apartment,55.5,129500,2333,1975,3/3,False,satisfactory,owned,E-2007
Laajasalo,"2h,k,lasitettu ...",apartment,56.0,158000,2821,1970,1/3,False,satisfactory,rented,E-2013
Ala-malmi,"2h, kk, s, lasi...",apartment,56.0,209500,3741,2013,2/2,True,good, ,D-2013
"Kumpula, käpylä","2h, k, kph, par...",apartment,60.0,307000,5117,1952,3/4,False,good,rented,E-2007
Kivihaka,"2h, k/rt, kph, ...",apartment,60.5,230000,3802,1961,3/3,False,good,rented,E-2007
Pitäjänmäki,"2h, k, kph, sau...",apartment,64.5,163000,2527,1973,2/5,True,good,owned,F-2013
Malminkartano,2h+avok+kph-wc+...,apartment,44.5,140000,3146,1986,1/4,True,satisfactory,rented,F-2007
Honkasuo,"2h, k, kph + p",apartment,45.5,195000,4286,2017,3/3,True,good,rented,C-2013
Viikki,2h+kk+s+p,apartment,47.5,252000,5305,2002,2/5,True,satisfactory,owned,F-2013
Viikki,2h+kk+s,apartment,47.5,252000,5305,2002,2/5,True,satisfactory,owned,F-2013
Pikku-huopalahti,"2h,k,s",apartment,49.0,269816,5506,1991,3/3,False,good,rented,F-2013
Etelä-haaga,"2h, k, parveke",apartment,53.0,270000,5094,1962,3/3,False,satisfactory,owned,E-2013
Merihaka,2 h + avok + kp...,apartment,55.0,299900,5453,1979,3/7,True,good,owned,D-2018
Munkkivuori,2h+k+kph+erilli...,apartment,56.5,296000,5239,1958,2/6,True,satisfactory,owned,E-2007
Lehtisaari,"2 h, k, kh, 2 x...",apartment,58.0,225000,3879,1967,1/4,True,good,rented,F-2013
Tapaninvainio,"2h, avokeitti..",apartment,58.5,191000,3265,1984,2/2,False,good,owned,F-2013
Kruununhaka,2h+k+kph+erill....,apartment,65.2,530000,8129,1927,5/6,True,good,owned,D-2007
Lauttasaari,"2h, avok, p",apartment,39.0,295000,7564,1961,2/5,True,good,owned,G-2007
Puotila,"2h, k, kph, las...",apartment,42.5,182000,4282,1965,1/3,False,good,owned,E-2007
Puotila,2h+k+kph+las.p,apartment,46.5,187000,4022,1962,3/3,False,good,owned,F-2013
Kallio,"2h, avok, kph, wc",apartment,49.2,300000,6098,1912,5/5,False,good,owned,E-2007
Ullanlinna,"2h, avok, kph, ...",apartment,54.0,520000,9630,1938,3/4,True,good,owned,F-2013
"Lassila, pohjois haaga","2 H, AVOK, KPH,...",apartment,58.0,217000,3741,1977,6/7,True,good,rented,F-2013
Kontula,"2h, k",apartment,59.5,100000,1681,1967,3/8,True,,rented,G-2013
Kannelmäki,"2h, k, kph, vh,...",apartment,60.5,105000,1736,1975,2/3,False,satisfactory,rented,D-2007
Suurmetsä,"2h, k, kph, s, ...",apartment,63.0,124000,1968,1974,2/3,False,good,rented,F-2013
Taka-töölö,"2 h, kk ja halli",apartment,63.0,436000,6921,1939,3/3,False,good,owned,F
Pitäjänmäki,2h + avok + kph...,apartment,42.5,250000,5882,2017,2/6,True,good,owned,C-2013
Kallio,"2h, avok, kph",apartment,43.0,274000,6372,1938,6/6,True,good,owned,D-2007
Vanha-vuosaari,"2h, k, kph + p",apartment,46.0,157000,3413,1965,1/3,False,good,owned,E-2007
Pikku huopalahti,"2 h, avok, kph,...",apartment,48.0,280000,5833,1995,3/3,True,good,rented,E-2013
Kontula,"2h, k, kph, las...",apartment,58.0,115000,1983,1969,2/9,True,satisfactory,owned,G-2013
Kulosaari,"2h,k, lasitettu...",apartment,55.5,295000,5315,1960,3/5,True,satisfactory,owned,
Toukola,"2h, kk, kph, p",apartment,35.8,237000,6620,1948,2/4,False,good,rented,F-2018
Taka-töölö,"2h, avok, kph",apartment,50.2,302000,6016,1929,2/6,True,good,owned,
Kallio,"2h, k, kph, vh",apartment,59.0,321000,5441,1955,3/6,True,satisfactory,owned,E-2018
Punavuori,2h+k+kph+et (yh...,apartment,32.5,329000,10123,1936,5/5,True,good,owned,G-2007
Punavuori,"2h, kk, kph (yh...",apartment,45.0,318000,7067,1961,2/7,True,satisfactory,owned,F-2013
Lauttasaari,2h+kk+kph+p,apartment,47.0,330000,7021,1939,2/5,True,good,owned,E-2013
Herttoniemenranta,2H+K,apartment,51.5,352000,6835,2018,1/2,False,good,owned,B-2007
Punavuori,"2h, avok, vh, e...",apartment,43.0,376000,8744,1936,2/4,True,good,owned,E-2007
Sörnäinen,"2h, avokeitti..",apartment,45.0,246000,5467,1935,4/7,True,satisfactory,owned,E-2007
Tapulikaupunki,2h+avokeitti...,apartment,49.0,133000,2714,1977,2/6,True,good,owned,G-2013
Puotinharju,"2h, k, kph, par...",apartment,55.0,197000,3582,1962,3/3,False,good,rented,E-2007
Tapulikaupunki,"2h, k, rt, parv.",apartment,60.0,132000,2200,1991,2/4,True,satisfactory,rented,E
Meilahti,"2h, kk",apartment,43.0,272000,6326,1941,1/3,False,,owned,F-2013
Hermanni,2 h + kk ,apartment,44.0,239000,5432,1957,4/4,False,satisfactory,rented,E-2007
Kamppi,"2h,kk,halli,kph",apartment,49.5,331000,6687,1939,4/5,True,satisfactory,owned,F-2013
Herttoniemenranta,"2h, kk, s, tera...",apartment,54.0,287000,5315,2008,1/7,True,good,rented,E-2013
Tapanila,"2h, avokeitti..",rowhouse,61.0,255000,4180,1984,1/1,False,good,owned,
Hakaniemi,"2h, k, s, lasit...",apartment,64.0,370000,5781,1993,2/7,True,good,owned,
Malminkartano,"2h, kk, kph, la...",apartment,42.5,157000,3694,1985,4/4,False,good,rented,
Jätkäsaari,"2h, avok, kph, ...",apartment,44.0,362000,8227,2017,5/8,True,good,owned,C-2013
Malmi,2h+k,apartment,50.0,139000,2780,1965,2/3,False,good,owned,E-2013
Vuosaari,2h+kk+s,apartment,55.0,209000,3800,2000,4/4,True,good,rented,F-2018
Kannelmäki,"2h, k, vh, kph,...",apartment,49.0,169000,3449,1961,2/4,False,satisfactory,rented,F-2013
Lauttasaari,"2h, k, kph",apartment,57.5,348000,6052,1955,4/4,True,good,owned,D-2007
Lassila,"2h, k, kph, las...",apartment,43.5,201000,4621,1982,3/3,False,satisfactory,owned,D-2007
Arabia,"2h, k, sauna, v...",apartment,47.5,343000,7221,2001,6/6,True,good,owned,
Vuosaari,2h+k+kph+p,apartment,49.5,166000,3354,1965,1/3,False,good,owned,
Kallio,"2 h, k, kph",apartment,52.4,315000,6011,1924,6/6,True,good,owned,
Punavuori,"1-2 h, kk, kph,...",apartment,43.2,366000,8472,1912,1/4,False,good,owned,G-2013
Itäkeskus,"2h, k, kph, s, p",apartment,57.5,191000,3322,1998,2/5,True,good,rented,F-2013
Kamppi,3h (yhtiöj...,apartment,58.0,461000,7948,1932,2/7,True,satisfactory,owned,F-2013
Toukola,2 h+kk+kph,apartment,41.6,270000,6490,1946,-1/4,True,good,rented,G-2013
Kamppi,"2h, k, lasitett...",apartment,50.0,390000,7800,1986,3/6,True,good,owned,E-2013
Oulunkylä,"2h, k",apartment,52.0,223000,4288,1964,1/3,False,,owned,E-2018
Roihuvuori,"2h, k, kph, las...",apartment,53.0,169000,3189,1965,3/5,True,satisfactory,owned,G-2013
Pihlajamäki,"2h, k, kph, vh,...",apartment,55.0,124000,2255,1963,1/4,False,satisfactory,rented,F
Munkkiniemi,"2h, avokeitti..",apartment,59.0,370000,6271,1937,1/6,True,good,owned,E-2007
Heikinlaakso,2h+k+kph+las.pa...,apartment,62.0,148000,2387,1980,1/2,False,satisfactory,owned,D-2007
Vesala,"2h, k, kph, s, ...",apartment,62.0,160000,2581,1989,3/3,False,satisfactory,rented,E-2007
Kamppi,2h+k+alk+kph+wc,apartment,70.0,569000,8129,1892,3/4,False,satisfactory,owned,D-2007
Punavuori,2h+keittosyv.+e...,apartment,29.0,243000,8379,1931,4/4,True,,owned,F-2013
Oulunkylä,"2h, k, kph, s, ...",apartment,55.0,212000,3855,1997,3/5,True,satisfactory,rented,E-2007
Savela,"2 h, k, s, lasi...",apartment,56.0,194400,3471,1988,2/3,False,good,owned,E-2013
Puotila,"2h, avok, kph, ...",apartment,57.0,268000,4702,2006,4/4,True,good,owned,E-2013
Taka-töölö,"2h,avok,kph,alkovi",apartment,48.5,341000,7031,1929,4/6,True,good,owned,
Vallila,2h+k+kph+parveke,apartment,57.0,329000,5772,1950,3/4,False,good,owned,
Hermanni,"2h, k, kph, vh, p",apartment,58.0,282000,4862,1954,3/6,True,,rented,D-2007
Veräjämäki,2h + k,apartment,60.0,233000,3883,1963,1/3,False,satisfactory,rented,E-2013
Hermanni,"2h, avok, kph, ...",apartment,43.5,285000,6552,1954,2/6,True,good,rented,D-2007
Myllypuro,2h+k+lasitettu ...,apartment,59.0,142000,2407,1977,5/5,True,satisfactory,rented,D-2007
Malmi,"2h, avokeitti..",apartment,59.5,198000,3328,1986,2/3,False,good,rented,E-2013
Etelä-haaga,"2h, k, rt, kph ...",apartment,60.5,285700,4722,1959,4/4,False,satisfactory,owned,E-2007
Viikinmäki,2H+KT,apartment,44.5,272000,6112,2020,3/3,True,good,owned,C-2013
Taka-töölö,"2-3h,k,sauna,pa...",apartment,71.0,540000,7606,1928,7/7,True,good,owned,E-2013
Lauttasaari,"2h, kk, kh/s, v...",apartment,47.0,260000,5532,1988,5/6,True,satisfactory,owned,F-2013
Aurinkolahti,2h+k+kph+s+parv...,apartment,57.5,270000,4696,2006,4/7,True,good,owned,E-2013
Pitäjänmäki,"1-2h, avok, kph...",apartment,75.5,410000,5430,2009,1/3,True,good,owned,F-2013
Lauttasaari,"2h, k, parveke",apartment,63.0,374000,5937,1955,4/4,False,good,owned,G-2013
Etelä-haaga,"2h, k, kph, las.p",apartment,48.5,272000,5608,1961,3/3,False,satisfactory,owned,E-2007
Vuosaari,"2h, avok, kph, ...",apartment,49.0,220000,4490,2001,6/7,True,good,rented,F-2013
Vallila,"2h, k, kph, vh",apartment,51.5,321000,6233,1927,1/3,False,satisfactory,owned,G-2013
Laajasalo,"2h, k, kph, vh, p",apartment,52.5,152000,2895,1971,1/3,True,satisfactory,owned,E-2007
Etelä-haaga,"2h, k, kph, vh,...",apartment,53.0,271000,5113,1959,3/4,False,good,owned,F-2007
Tapaninvainio,"2h, k, s, l...",rowhouse,54.5,212500,3899,1989,1/1,False,good,owned,
Puotila,"2h, k",apartment,55.0,190000,3455,1961,3/3,False,good,rented,
Lauttasaari,"2h, avokeitti..",apartment,57.0,375000,6579,1956,1/4,True,good,owned,F-2013
Konala,"2h, k, kph, vh,...",apartment,59.0,100000,1695,1978,1/2,False,,rented,E-2013
Punavuori,"2h, k, kph, s, ...",apartment,90.0,540000,6000,1957,1/6,True,good,owned,E-2013
Meilahti,"2h, k, kph",apartment,44.2,290000,6561,1946,2/8,True,good,owned,D-2018
Konepaja,"2h, avok, kph, ...",apartment,49.0,346000,7061,2011,2/6,True,good,owned,B-2007
Tapanila,2h + k + sauna,apartment,55.5,224000,4036,2011,4/4,True,good,rented,B-2013
Kontula,"2h, k, kph, eri...",apartment,59.5,95000,1597,1967,4/8,True,good,rented,G-2013
Meilahti,"2h,k,kph,ransk.p",apartment,62.0,390000,6290,1951,2/4,True,good,owned,E
Punavuori,2h+kk,apartment,36.0,290000,8056,1931,3/6,True,satisfactory,owned,
Kamppi,1-2h+avok+kph,apartment,37.3,330000,8847,1912,2/4,False,good,owned,E-2007
Lauttasaari,2h+kk+kph,apartment,42.0,265000,6310,1959,3/3,False,good,owned,F-2013
"Lauttasaari, katajaharju","2h, kk, kph, vh...",apartment,45.5,220000,4835,1963,2/4,True,,owned,E-2007
Taka-töölö,"2-3h,k,kph,wc",apartment,57.0,396000,6947,1938,6/6,True,good,owned,
Herttoniemenranta,"2h, kk, vh, s, ...",apartment,58.0,355000,6121,1999,4/5,True,satisfactory,rented,F-2013
Aurinkolahti,2h+k+s+iso parveke,apartment,58.5,310000,5299,2002,2/6,True,satisfactory,owned,G-2013
Munkkiniemi,2h+k+kph,apartment,64.0,366000,5719,1937,5/6,True,,owned,
Kannelmäki,2h + kk,apartment,42.0,208000,4952,2012,3/5,True,good,owned,D-2013
Töyrynummi,oh+mh+avokeitti...,apartment,43.5,183000,4207,1995,2/2,False,good,owned,D
Punavuori,"2h, avokeitti..",apartment,49.0,360000,7347,1907,4/4,False,satisfactory,owned,F-2015
Kontula,2h+k+kph+las.P,apartment,56.5,137376,2431,1966,2/4,True,good,rented,
Kontula,"2h, k, kph, vh,...",apartment,58.0,163000,2810,1967,2/3,False,good,rented,
Etelä-haaga,"2h, k, parveke",apartment,53.0,290000,5472,1960,4/4,True,satisfactory,owned,D-2013
Taka-töölö,"2h, kt, kph",apartment,45.0,355000,7889,1952,3/7,True,good,owned,E-2007
Myllypuro,"2h, kk, vh, las...",apartment,51.0,180000,3529,1964,6/8,True,good,rented,E-2007
Savela,2h + k,apartment,50.0,174000,3480,1980,3/3,False,,owned,F-2013
Malminkartano,2h+avokk+kph-wc...,apartment,51.0,187500,3676,2008,2/4,True,satisfactory,rented,D-2013
Laajasalo,2 h+k+kph+vh+p ...,apartment,60.0,137000,2283,1970,2/3,False,satisfactory,rented,E-2013
Alppila,"2h, k ja parveke",apartment,55.5,351000,6324,1959, ,True,good,owned,G-2013
Kruununhaka,2h + avokeitti&...,apartment,45.5,395000,8681,1926,4/4,False,good,owned,C-2007
Herttoniemenranta,"2h, k, s, vh, p...",apartment,53.0,285000,5377,2007,2/6,True,good,rented,G-2013
Pohjois-haaga,2h+kk+kph+vh (y...,apartment,42.0,210000,5000,1954,3/4,False,satisfactory,rented,F-2013
Viikinmäki,2H+KT,apartment,44.5,268000,6022,2020,2/3,True,good,owned,C-2013
Kontula,"2 h, k, s, p ja...",apartment,51.0,193000,3784,2004,4/8,True,satisfactory,rented,E-2007
Konepaja,"2h, avok, kph, ...",apartment,56.5,403500,7142,2013,3/6,True,good,owned,C-2018
Pohjois-haaga,2 h + k + kph (...,apartment,57.4,172000,2997,1973,2/6,True,good,rented,E-2013
Pukinmäki,2h+k+parveke,apartment,61.0,146000,2393,1976,3/6,True,good,rented,F-2013
Ullanlinna,2 h+k+halli+kh,apartment,68.0,430000,6324,1941,3/4,True,,owned,F-2013
Vuosaari,"2h,k,parveke (2...",apartment,55.5,155000,2793,1965,2/4,True,satisfactory,owned,F-2007
,2h+kk+kph+vh,townhouse,37.1,185000,4987,1966,1/2,False,good,owned,D-2013
,"2h, k. kph, eri...",townhouse,80.0,318500,3981,1960,1/1,False,satisfactory,owned,
,2 h + k + sauna,townhouse,56.0,173000,3089,1954, ,False,,owned,
Punavuori,"3h, avok, 2 kph...",apartment,128.0,1536000,12000,1898,4/4,True,good,owned,E-2013
Viikinmäki,"3 h, avokeitti&...",apartment,62.5,339356,5430,2021,4/5,True,good,rented,C-2013
Mellunkylä,"2-3h,kt,s",rowhouse,67.0,259500,3873,2020,1/2,False,good,rented,B-2018
Mellunmäki,3 h + k,apartment,69.5,133000,1914,1988,3/3,False,satisfactory,rented,E-2007
Kruununhaka,"3h, k, kph",apartment,71.0,570000,8028,1902,4/5,True,good,owned,E
Oulunkylä,"3h, k, kph, s, ...",apartment,73.5,260000,3537,1977,2/4,True,good,owned,E-2018
Malminkartano,3h+k+kph-s+2xwc...,rowhouse,78.0,222000,2846,1978,2/2,False,satisfactory,rented,E-2007
Siltamäki,3h+k+kph+lasit....,apartment,80.5,149000,1851,1969,3/3,False,satisfactory,owned,F-2013
Vuosaari,3h+k+kph+erill....,apartment,75.0,235000,3133,1971,3/6,True,good,owned,G-2013
Paloheinä,3h+k+s,rowhouse,80.0,318000,3975,1978, ,False,,rented,
Kulosaari,"3h, keittiö...",rowhouse,112.0,945000,8438,2019,1/3,True,good,owned,C-2018
Lauttasaari,3h+avokeitti...,apartment,63.0,426000,6762,1938,2/4,False,good,owned,F-2013
Lauttasaari,3h+k+kph+vh+par...,apartment,63.6,416000,6541,1954,4/4,True,satisfactory,owned,F-2007
Munkkivuori,3h+k+kph+parv,apartment,67.0,360000,5373,1958,4/4,False,good,rented,G-2013
Etelä-haaga,"3h, keittiö...",apartment,67.0,402500,6007,1939,-1/2,False,good,owned,
Ruskeasuo,3h+k+kph+vh+p,apartment,69.0,330000,4783,1964,2/3,True,good,rented,G-2018
Tapulikaupunki,"3h, k, kph, ter...",apartment,73.0,158000,2164,1978,1/4,True,good,rented,D-2007
Malmi,"3h, k, sauna, u...",apartment,74.5,202000,2711,1985,1/3,False,,owned,F-2013
Puotinharju,"3h, k, kph, eri...",apartment,75.5,140500,1861,1964,1/7,True,satisfactory,rented,D-2018
Sörnäinen,"3h, k, kph, s, ...",apartment,76.0,505000,6645,1999,7/12,True,good,owned,C-2013
Torpparinmäki,"3h, k, s, 2kph,...",rowhouse,87.0,308000,3540,1981,2/2,False,good,rented,E-2007
Oulunkylä,3h+k+khh+s+2x w...,rowhouse,105.5,430000,4076,1988,5/5,False,satisfactory,owned,
Suutarila,"3 h, k, s",apartment,64.5,273000,4233,2015,2/2,False,good,owned,C-2013
Kallio,"3h, avok, kph, ...",apartment,65.5,436000,6656,1961,8/9,True,good,owned,G-2013
Mellunmäki,"3h,k,kph,p",apartment,73.0,150000,2055,1968,1/3,False,good,owned,E-2007
Paloheinä,"3 h, avok., 2kp...",rowhouse,82.0,298000,3634,2001,2/2,False,good,rented,C-2018
Viikinmäki,"3h, kt (yht.j..",apartment,82.5,369500,4479,2022,3/3,True,good,rented,
Maunula,"3h,k,kh,p (yj 3...",apartment,68.0,302000,4441,1957,1/3,False,satisfactory,rented,F-2013
Lassila,"3h, k, s",apartment,80.0,275000,3438,1984,3/5,True,satisfactory,owned,D-2007
Itä-pakila,"3h,k,ruok. wc, ...",rowhouse,108.0,358000,3315,1972,1/2,False,good,owned,F-2007
Kivikko,3H+K,apartment,83.0,315000,3795,2015,3/3,True,good,rented,B-2018
Hakaniemi,"2-3h, kt, sauna...",apartment,102.0,880000,8627,1894,5/5,True,good,owned,D-2018
Länsi-herttoniemi,3h+k,apartment,73.0,332000,4548,1956,2/3,False,good,rented,E-2013
Etu-töölö,"3 h, kk, kh",apartment,74.2,649000,8747,1927,6/6,True,good,owned,D-2007
Arabianranta,"3h,k,kh,s,erill...",apartment,76.0,456500,6007,2001,1/6,True,satisfactory,owned,F-2013
Heikinlaakso,3h+avok+kph+s+w...,rowhouse,80.0,242000,3025,1979,1/1,False,good,owned,F
Aurinkolahti,"3h, k, s, kph, ...",apartment,85.5,388000,4538,2005,7/8,True,good,owned,D-2007
Puotila,"3h, k, vh, p",apartment,60.0,191000,3183,1961,1/3,False,satisfactory,rented,E-2007
Maunula,"3 h, k, kph, pa...",apartment,61.5,187000,3041,1962,2/4,False,satisfactory,rented,
Kannelmäki,"3h, k, s",apartment,74.0,179000,2419,1981,4/5,True,satisfactory,owned,F-2007
Pihlajisto,"3h, k, kph/s",apartment,77.5,150000,1935,1977, ,False,good,rented,D-2007
Etu-töölö,3h+k,apartment,106.0,730000,6887,1924,2/6,True,satisfactory,owned,F-2013
Pasila,3h+k+ las.parve...,apartment,68.0,300000,4412,1974,11/13,True,good,rented,E-2007
Laajasalo / hevossalmi,3h+k+s+ph+vh+ap...,rowhouse,72.5,385000,5310,1989,1/1,False,good,owned,E-2018
Mellunmäki,"3h,k,rt,kph,s,w...",rowhouse,76.0,221000,2908,1988,2/2,False,satisfactory,rented,F-2007
Tapaninvainio,"3h,k,saunaos.",rowhouse,76.0,280000,3684,1988, ,False,,owned,
Lassila,"3h, k, rt, kph,...",apartment,68.0,288000,4235,1982,3/3,False,good,owned,D-2007
Malmi,"3 h, k, saunati...",rowhouse,77.0,275000,3571,1987,1/2,False,good,rented,
Tapaninvainio,3h+k+s,rowhouse,79.5,250000,3145,1987,1/1,False,satisfactory,owned,F-2013
Itä-pakila,"3 h, avok/rt/oh...",rowhouse,80.0,337000,4213,1985,1/1,False,good,owned,
Puotila,3h+k+kph+parv.,apartment,64.0,222500,3477,1961,1/3,False,satisfactory,rented,
Munkkivuori,3h+k+kph+p (yht...,apartment,65.0,372000,5723,1958,3/7,True,good,rented,E-2007
Myllypuro,3h+k,apartment,71.5,195000,2727,1964,2/3,False,,rented,E
Etelä-haaga,3h+k+kph+lasite...,apartment,72.0,357000,4958,1965,1/3,False,satisfactory,owned,F-2007
Lauttasaari,"3h, avok, kph, ...",apartment,69.0,609000,8826,2017,4/6,True,good,owned,C-2013
"Hakuninmaa,kannelmäki,kaarela,maununneva",3h+k+kph+s+eril...,rowhouse,64.5,343500,5326,2017,2/2,False,good,rented,C-2013
Mellunmäki,"3 h, k, kph, wc...",apartment,77.5,136000,1755,1973,2/3,False,satisfactory,owned,F-2007
Kannelmäki,3h+k+khh+s+piha,rowhouse,86.0,319000,3709,2008,1/3,False,good,rented,E-2013
Vartiokylä,3h+kk+s+th+khh,rowhouse,86.0,289000,3360,1984,1/1,False,satisfactory,owned,
Pasila,"3h, kt, s ja la...",apartment,62.0,304675,4914,2022,1/5,True,good,rented,B-2018
Etelä-haaga,3h+avokk+kph+p,apartment,66.5,375000,5639,1957,2/3,False,good,owned,G-2013
Oulunkylä,"3h, kk, kph, la...",apartment,60.0,208000,3467,1963,1/3,False,good,owned,E-2018
Arabianranta,"3h, k, s, erill...",apartment,87.0,519000,5966,2005,6/6,True,good,rented,E-2007
Kruununhaka,3h+k+kp+wc,apartment,68.5,555000,8102,1924,7/9,True,satisfactory,owned,F-2013
Yliskylä,"3h, k, lasitett...",apartment,69.0,225000,3261,1972,2/3,False,good,owned,F-2013
Lauttasaari / vattuniemi,3h+avok+kph+las.p,apartment,71.5,383000,5357,1977,4/6,True,good,owned,E-2007
Rastila,"3h, k, s",rowhouse,76.0,289000,3803,1990,1/1,False,good,owned,F
Länsi-pakila,"3h, k, s+paikka...",rowhouse,76.0,330000,4342,1993,1/1,False,good,owned,B
Oulunkylä,"3h, avok, kph, ...",apartment,51.5,270000,5243,1964,2/3,False,good,owned,E-2007
Tapanila,"3h,k,kh,p (yj. ...",apartment,73.0,239000,3274,1967,2/3,False,satisfactory,owned,E-2013
Maununneva,3-4h+avok+2kph+s,rowhouse,77.0,435000,5649,2021,2/2,False,good,owned,B-2018
Vuosaari,"3h,k,s, lasitet...",rowhouse,79.5,286000,3597,1979,1/1,False,good,rented,
Ullanlinna,"3h, k, s",apartment,95.0,760000,8000,1930,3/7,True,good,owned,F-2013
"Haaga, pohjois-haaga",3 h+k+p,apartment,66.0,314000,4758,1956,6/10,True,good,owned,F-2007
Munkkivuori,3h+k+kph+lasit....,apartment,62.0,382000,6161,1958,2/3,False,good,rented,D-2018
Sörnäinen,"3h, k, p, s, er...",apartment,78.5,488000,6217,1999,3/12,True,satisfactory,owned,C-2013
Vuosaari,3h+k+s,rowhouse,79.0,290000,3671,1986,1/1,False,satisfactory,owned,E-2013
Pihlajamäki,"3 h, avok, kph,...",rowhouse,81.0,291000,3593,1982,-1/2,False,good,owned,E-2007
Munkkiniemi,3-4h+k+kph/wc+s...,apartment,158.5,1020000,6435,2000,1/2,False,good,owned,F-2007
Kontula,"3h, k kph, p",apartment,59.5,175000,2941,1966,2/8,True,good,owned,G
"Meilahti, laakso",3h+k+p,apartment,61.0,470000,7705,1950,8/8,True,good,owned,D-2013
Savela,3h+k+kph+las.p,apartment,70.5,190000,2695,1980,2/4,False,satisfactory,owned,F-2013
Etu-töölö,"3h, avokeitti..",apartment,70.5,588000,8340,1924,3/7,True,good,owned,D-2018
Ullanlinna,3h+k+kph+lasite...,apartment,76.5,800000,10458,1978,5/6,True,good,owned,E-2007
Puistola,"3 h, avok/oh, k...",rowhouse,77.5,248000,3200,1981,1/1,False,satisfactory,owned,F-2013
Merihaka,3h+k+kph+wc,apartment,78.0,450000,5769,1980,2/9,True,,owned,D-2018
Vuosaari,3h+avok+kph+s+p...,apartment,66.0,287000,4348,2012,2/6,True,good,rented,D-2018
Kallio,"3h, k",apartment,67.0,331000,4940,1972,4/6,True,good,owned,G-2013
Lauttasaari,"3h, k, kph",apartment,69.0,488000,7072,1952,1/4,False,good,owned,F-2013
Kannelmäki,"3h, k, kph, las...",apartment,72.0,165000,2292,1976,5/5,True,satisfactory,owned,D-2007
Munkkivuori,3h+avokeitti...,apartment,73.5,339564,4620,1993,2/4,True,good,rented,E-2007
Vuosaari,3h+k+s/kph/wc+w...,rowhouse,80.5,270000,3354,2000,1/2,False,satisfactory,rented,E-2007
